[0.000000] (-) TimerEvent: {}
[0.000308] (-) JobUnselected: {'identifier': 'my_ur5e_moveit2_control'}
[0.000336] (-) JobUnselected: {'identifier': 'ur'}
[0.000352] (-) JobUnselected: {'identifier': 'ur_calibration'}
[0.000365] (-) JobUnselected: {'identifier': 'ur_controllers'}
[0.000376] (-) JobUnselected: {'identifier': 'ur_dashboard_msgs'}
[0.000388] (-) JobUnselected: {'identifier': 'ur_moveit_config'}
[0.000399] (-) JobUnselected: {'identifier': 'ur_robot_driver'}
[0.000409] (-) JobUnselected: {'identifier': 'ur_simulation_gz'}
[0.000423] (ur_description) JobQueued: {'identifier': 'ur_description', 'dependencies': OrderedDict()}
[0.083493] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur3/default_kinematics.yaml\n'}
[0.083612] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur3/physical_parameters.yaml\n'}
[0.083694] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur3/joint_limits.yaml\n'}
[0.083798] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur3/visual_parameters.yaml\n'}
[0.083929] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur3e\n'}
[0.084024] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur3e/default_kinematics.yaml\n'}
[0.084089] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur3e/physical_parameters.yaml\n'}
[0.084151] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur3e/joint_limits.yaml\n'}
[0.084210] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur3e/visual_parameters.yaml\n'}
[0.084270] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5e\n'}
[0.084329] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5e/default_kinematics.yaml\n'}
[0.084388] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5e/physical_parameters.yaml\n'}
[0.084448] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5e/joint_limits.yaml\n'}
[0.084514] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5e/visual_parameters.yaml\n'}
[0.084609] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5\n'}
[0.084675] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5/default_kinematics.yaml\n'}
[0.084745] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5/physical_parameters.yaml\n'}
[0.084804] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5/joint_limits.yaml\n'}
[0.084954] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5/visual_parameters.yaml\n'}
[0.085015] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/initial_positions.yaml\n'}
[0.085075] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur7e\n'}
[0.085135] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur7e/default_kinematics.yaml\n'}
[0.085194] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur7e/physical_parameters.yaml\n'}
[0.085253] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur7e/joint_limits.yaml\n'}
[0.085312] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur7e/visual_parameters.yaml\n'}
[0.085437] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur30\n'}
[0.085503] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur30/default_kinematics.yaml\n'}
[0.085563] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur30/physical_parameters.yaml\n'}
[0.085623] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur30/joint_limits.yaml\n'}
[0.085694] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur30/visual_parameters.yaml\n'}
[0.085760] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur12e\n'}
[0.085819] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur12e/default_kinematics.yaml\n'}
[0.085877] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur12e/physical_parameters.yaml\n'}
[0.085936] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur12e/joint_limits.yaml\n'}
[0.086079] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur12e/visual_parameters.yaml\n'}
[0.086139] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur20\n'}
[0.086199] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur20/default_kinematics.yaml\n'}
[0.086259] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur20/physical_parameters.yaml\n'}
[0.086319] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur20/joint_limits.yaml\n'}
[0.086386] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur20/visual_parameters.yaml\n'}
[0.086445] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur10e\n'}
[0.086505] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur10e/default_kinematics.yaml\n'}
[0.086566] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur10e/physical_parameters.yaml\n'}
[0.086626] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur10e/joint_limits.yaml\n'}
[0.086695] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur10e/visual_parameters.yaml\n'}
[0.086760] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur10\n'}
[0.086820] (ur_description) StdoutLine: {'line': b'-- Up-to-date: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur10/default_kinematics.yaml\n'}
