iter,rot_x,rot_y,rot_z,rot_w,mean_x,mean_y,mean_z,mean_w,roll,pitch,yaw,mean_roll,mean_pitch,mean_yaw
17,0.116358,-0.990122,0.0782278,0.484187,-0.0805809,-0.00810963,-0.161987,0.176577,1.80113,-0.0783078,-1.45381,-0.261596,0.165606,-0.443848
18,-0.98205,0.1358,-0.130908,-0.0947349,-0.130662,-0.00011468,-0.16026,0.161504,1.51118,0.131284,3.00418,-0.163109,0.1637,-0.252291
19,0.157135,-0.185557,-0.969988,-0.0110862,-0.115515,-0.0098748,-0.202878,0.15242,2.47662,1.32518,-0.868146,-0.0241753,0.22483,-0.284704
20,0.374055,0.381077,-0.845496,-0.247417,-0.0910367,0.0096728,-0.235009,0.132428,2.98998,1.00749,0.794698,0.126533,0.263963,-0.230734
21,0.0115107,0.162293,0.986675,0.421595,-0.0861535,0.0169404,-0.176833,0.146198,3.07281,-1.40737,1.49999,0.266831,0.184376,-0.148319
22,-0.510037,-0.584301,0.631233,0.486626,-0.105421,-0.0103887,-0.140103,0.161672,1.69505,-0.683142,-2.28844,0.331751,0.144944,-0.245597
23,-0.56693,0.413786,-0.7123,0.397414,-0.125487,0.00805368,-0.164981,0.171922,0.723563,0.79277,2.5111,0.348786,0.17311,-0.125741
24,-0.943715,-0.302746,0.133215,0.0656908,-0.159579,-0.00489628,-0.152556,0.167496,-1.52877,-0.133612,-2.83116,0.270554,0.16033,-0.238467
25,-0.442432,0.193264,0.87573,0.217229,-0.170894,0.00303012,-0.111425,0.169485,1.52792,-1.06695,2.72975,0.320849,0.111239,-0.119738
26,0.863353,0.149327,-0.481999,0.893363,-0.131115,0.00865691,-0.125678,0.197326,-0.732572,0.502935,0.171267,0.280333,0.126304,-0.108545
27,0.749782,-0.285779,-0.596789,-0.630246,-0.098489,-0.00224812,-0.143126,0.166676,-1.78468,0.639493,-0.36415,0.203851,0.145311,-0.118012
28,0.426601,0.172635,0.887811,-0.333966,-0.0797358,0.00399771,-0.106307,0.148796,-2.56415,-1.09257,0.38453,0.104994,0.101101,-0.100064
29,-0.110543,0.366224,-0.923937,0.0394022,-0.0807981,0.0164883,-0.134501,0.145023,-1.79443,1.17825,1.86395,0.0394962,0.138244,-0.0323398
30,-0.973108,-0.197646,0.118312,0.0672944,-0.110542,0.00935046,-0.126074,0.142432,2.97017,-0.11859,-2.94121,0.137185,0.129683,-0.129302
31,-0.609183,0.350831,0.711206,-0.0482544,-0.126627,0.020366,-0.099065,0.136281,1.35768,-0.791213,2.61908,0.176556,0.0999767,-0.0406447
32,0.23732,0.843693,-0.481519,-0.537191,-0.115254,0.0460949,-0.111017,0.115235,2.02194,0.502388,1.29659,0.234224,0.112552,0.00114405
33,0.844162,-0.484427,-0.22961,0.68429,-0.0861804,0.0300185,-0.11461,0.132479,-1.61716,0.231677,-0.520974,0.178122,0.116162,-0.0146777
34,-0.144644,-0.662711,-0.734774,0.12483,-0.0878999,0.00964409,-0.13285,0.132254,2.52977,0.825333,-1.78569,0.247288,0.13702,-0.0667662
35,0.466441,0.515926,-0.718508,0.679889,-0.0720616,0.0241093,-0.149584,0.147901,1.67884,0.801654,0.835728,0.288189,0.156009,-0.0409807
36,0.713316,0.555058,0.42789,0.813703,-0.0502455,0.0388579,-0.133543,0.166396,-1.14743,-0.442157,0.661267,0.248311,0.139394,-0.0214738
37,0.903687,-0.427955,-0.0142796,0.828478,-0.0244636,0.0262413,-0.130319,0.18429,-1.11595,0.01428,-0.442277,0.211439,0.136012,-0.0328468
38,0.342786,0.700708,0.625704,0.259325,-0.0147991,0.0439904,-0.110424,0.186264,2.06567,-0.676034,1.11583,0.260235,0.114643,-0.00261857
39,-0.72153,0.41787,0.552068,0.373125,-0.0329204,0.0535771,-0.093437,0.191056,-1.70363,-0.584843,2.61665,0.209879,0.0967071,0.0645422
40,-0.66865,-0.733448,0.122318,0.404876,-0.0488136,0.0339015,-0.0880431,0.196401,0.0703326,-0.122626,-2.31001,0.206391,0.0912238,0.00517831
41,0.788635,0.0243267,0.61438,-0.940404,-0.0283881,0.0336679,-0.0709108,0.168674,-0.222021,-0.661599,0.0308367,0.195941,0.0728622,0.00580412
42,0.957048,0.0141041,0.289587,0.923403,-0.0049253,0.0332021,-0.0623275,0.186644,-0.735774,-0.293796,0.0147361,0.173758,0.0641323,0.00601679
43,-0.621772,0.210481,0.754385,-0.41289,-0.0192706,0.0373249,-0.0433342,0.172701,-1.80907,-0.854717,2.81518,0.127645,0.0427637,0.0713462
44,0.556704,0.605566,0.568657,-0.1176,-0.00618025,0.0502395,-0.0294253,0.166103,3.1367,-0.604872,0.827414,0.196033,0.0280447,0.0885296
45,-0.366225,-0.443954,-0.817792,0.536208,-0.0141812,0.0392574,-0.0469446,0.174328,-2.2856,0.957564,-2.26055,0.140886,0.0487007,0.0363279
46,-0.599771,-0.586662,-0.544153,-0.377865,-0.0269115,0.0256504,-0.0577535,0.162324,-0.125878,0.575379,-2.36724,0.135086,0.0601502,-0.0159236
47,0.936309,-0.204741,-0.285319,0.794383,-0.00641742,0.0207485,-0.0625953,0.175772,1.23084,0.289339,-0.21528,0.1584,0.0650266,-0.0201653
48,0.994992,-0.0824433,-0.056508,-0.46175,0.0144453,0.0185987,-0.0624684,0.16249,2.17801,0.0565381,-0.0826694,0.200476,0.0648497,-0.0214674
49,0.75705,0.627188,0.183061,0.825862,0.0296005,0.0310188,-0.0574576,0.176028,0.918665,-0.184099,0.691857,0.215133,0.0597691,-0.00690979
50,-0.341264,-0.874487,-0.344691,0.471159,0.0221832,0.0129087,-0.0632023,0.181931,0.706202,0.351909,-1.94287,0.224954,0.0656119,-0.0456289
51,-0.114934,-0.867712,-0.483597,-0.108805,0.0194946,-0.00435835,-0.0714453,0.17623,2.24058,0.504759,-1.70249,0.264476,0.0742227,-0.0781163
52,-0.553558,-0.828117,-0.0882894,0.220966,0.00847437,-0.0201999,-0.0717693,0.177091,-2.3334,0.0884045,-2.16003,0.214517,0.0744954,-0.118153
53,-0.879452,-0.456895,-0.133458,0.0870489,-0.00827896,-0.0284394,-0.0729332,0.175392,1.88105,0.133857,-2.66245,0.245961,0.0756154,-0.166159
54,-0.0462409,0.816241,-0.575858,0.000569426,-0.00898196,-0.0127972,-0.0822466,0.172154,-2.49292,0.613653,1.62739,0.195241,0.0855791,-0.132945
55,0.414696,0.905663,0.0883256,-0.477493,-0.00127873,0.00390212,-0.0791453,0.160342,-1.99087,-0.0884409,1.1414,0.155493,0.0824151,-0.109775
56,0.881432,0.295142,0.368739,0.300979,0.014484,0.00910284,-0.0711474,0.162854,2.44827,-0.377652,0.32311,0.196436,0.0741996,-0.102045
57,-0.888015,-0.273238,-0.369824,0.136366,-0.00134935,0.00414949,-0.0763873,0.162389,0.101903,0.37882,-2.84309,0.194777,0.0795438,-0.150134
58,-0.121477,-0.42714,-0.895988,-0.438986,-0.00342051,-0.00328654,-0.0905184,0.152021,0.31824,1.11065,-1.84788,0.196906,0.0973215,-0.179405
59,-0.273784,0.647865,-0.710853,-0.0557063,-0.00800295,0.00774993,-0.101033,0.1485,-2.2032,0.790711,1.97063,0.156226,0.109074,-0.142964
60,0.282108,0.167405,-0.944664,0.000139479,-0.00316777,0.0104109,-0.115093,0.146027,-2.75646,1.23657,0.53556,0.107681,0.127865,-0.131655
61,0.305312,-0.369437,0.877668,-0.766097,0.00188928,0.00418384,-0.0988183,0.131074,1.19084,-1.07097,-0.880149,0.125438,0.108212,-0.143925
62,-0.205385,0.971019,0.122222,0.252594,-0.00145386,0.019778,-0.0952531,0.133034,2.16589,-0.122529,1.77924,0.158349,0.104491,-0.112907
63,0.517736,0.264705,-0.813561,-0.49137,0.00678725,0.0236657,-0.106655,0.123123,-1.6965,0.95025,0.472626,0.128907,0.117916,-0.103612
64,0.499798,0.865728,-0.0267645,-0.852426,0.0144905,0.0368229,-0.105407,0.10788,-0.338702,0.0267677,1.04722,0.1216,0.116491,-0.0856306
65,0.835983,-0.546944,-0.0445447,-0.796948,0.0271289,0.0278419,-0.10447,0.0939597,-1.19025,0.0445594,-0.579359,0.101418,0.115385,-0.0932265
66,0.313485,-0.407076,0.857914,0.195946,0.0314676,0.0212522,-0.0898886,0.095505,-2.10925,-1.0312,-0.914561,0.0679229,0.0980123,-0.105671
67,0.85418,-0.511485,-0.0935966,-0.463136,0.0437469,0.0133009,-0.089944,0.0871671,2.11206,0.0937338,-0.539538,0.0984324,0.0979484,-0.112147
68,0.0893796,-0.994405,-0.0562956,0.370213,0.044418,-0.0015183,-0.0894491,0.0913295,-2.14214,0.0563254,-1.48115,0.0654828,0.0973363,-0.132279
69,0.0972741,-0.0864532,-0.991496,-0.272799,0.045184,-0.00274924,-0.102522,0.0860523,1.7434,1.44029,-0.72657,0.0898005,0.116799,-0.140892
70,0.189079,0.798595,-0.571398,-0.240322,0.0472397,0.00869853,-0.10922,0.0813898,-2.02109,0.608208,1.33831,0.0596448,0.123819,-0.11976
71,-0.199648,-0.895463,0.397854,0.632024,0.0437624,-0.00403613,-0.102079,0.0891452,0.591515,-0.409176,-1.79016,0.067136,0.116312,-0.143287
72,-0.534838,-0.00157888,0.844953,-0.12871,0.0357262,-0.004002,-0.0889254,0.0861194,-0.545681,-1.00648,-3.13864,0.0586246,0.100718,-0.184889
73,0.486245,-0.490178,-0.723389,0.586725,0.0418977,-0.010662,-0.0976167,0.092977,-1.9972,0.808698,-0.789426,0.0304626,0.110417,-0.193171
74,-0.806445,0.399445,0.435993,0.310146,0.0304336,-0.00511997,-0.0904057,0.0959118,-1.39501,-0.451141,2.6817,0.0111995,0.102828,-0.154321
75,-0.601637,0.795102,0.0764588,0.443762,0.022006,0.00554966,-0.0881809,0.10055,-0.366948,-0.0765335,2.21856,0.00615755,0.100436,-0.122683
76,-0.116176,0.710322,-0.694223,-0.135677,0.0201878,0.014823,-0.0961551,0.0974415,-2.66568,0.76734,1.73292,-0.0289982,0.109211,-0.0982669
77,0.00672714,0.989627,-0.1435,-0.418509,0.020013,0.0274828,-0.09677,0.0907408,-1.73675,0.143997,1.564,-0.0511768,0.109663,-0.0766791
78,-0.776684,-0.613642,0.142147,-0.29688,0.00979896,0.0192632,-0.0937069,0.0857713,-0.548008,-0.14263,-2.47293,-0.0575464,0.106429,-0.1074
79,0.4926,0.727206,0.478035,0.862553,0.0159104,0.0282245,-0.0864697,0.095604,-0.379493,-0.498416,0.975409,-0.0616217,0.0987725,-0.0936938
80,-0.93179,-0.0466672,-0.359986,0.157567,0.00406411,0.0272884,-0.0898887,0.0963786,-1.77707,0.368253,-3.09155,-0.0830648,0.102141,-0.131167
81,0.349573,0.796966,-0.492589,-0.675894,0.00832966,0.0367906,-0.0948603,0.0868443,-0.86813,0.515062,1.15744,-0.0927569,0.107239,-0.115258
82,-0.935457,0.182508,-0.302675,-0.173223,-0.00317993,0.0385676,-0.0973946,0.0836728,2.56274,0.307498,2.94891,-0.0603729,0.109681,-0.0778904
83,-0.728506,0.35396,-0.586508,-0.328108,-0.0119188,0.0423675,-0.103288,0.0787116,2.85132,0.62674,2.68931,-0.0252922,0.115911,-0.0445506
84,0.678997,-0.0239431,0.73375,-0.834888,-0.0036936,0.0415781,-0.0933228,0.0678354,-0.833767,-0.823826,-0.0352478,-0.0349169,0.104723,-0.0444399
85,-0.989447,-0.0597439,-0.132003,0.061774,-0.0152907,0.0403861,-0.0937778,0.0677641,-1.17958,0.13239,-3.08128,-0.0483835,0.105049,-0.0801674
86,0.99021,0.0856965,0.110183,-0.835861,-0.00359884,0.0409129,-0.0914062,0.0572568,1.14992,-0.110407,0.0863287,-0.0344498,0.102543,-0.0782314
87,-0.0987018,-0.796137,-0.597013,0.609657,-0.00469198,0.0312917,-0.0972178,0.0636062,0.146511,0.639773,-1.69414,-0.0323698,0.108718,-0.0968051
88,-0.0845739,0.992321,-0.090262,-0.356149,-0.00559973,0.0422125,-0.0971387,0.0588363,2.13122,0.090385,1.65582,-0.00778354,0.10851,-0.076889
89,-0.0495772,-0.896202,-0.440868,0.0208311,-0.00609385,0.0316685,-0.101001,0.0584093,2.72048,0.456565,-1.62606,0.0228712,0.112421,-0.0942954
90,-0.159269,-0.597947,0.785553,-0.642653,-0.0077958,0.0246728,-0.0911503,0.0506197,1.3919,-0.903589,-1.83111,0.0380826,0.101132,-0.113593
91,0.323017,0.221243,0.920169,0.767738,-0.0041605,0.0268329,-0.0800369,0.0585001,0.268927,-1.16851,0.600538,0.0406193,0.0871797,-0.105746
92,-0.855014,0.332989,-0.397579,0.253829,-0.0134089,0.0301607,-0.0834884,0.0606232,2.34937,0.408877,2.77021,0.0657144,0.0906764,-0.0744853
93,-0.802572,0.596505,-0.00772892,0.00551134,-0.0218945,0.0362504,-0.0826738,0.0600306,-3.08315,0.007729,2.50243,0.0318556,0.0897845,-0.0467766
94,-0.388555,0.104379,0.915494,0.361538,-0.0257952,0.0369752,-0.072055,0.0632382,1.82432,-1.15674,2.87915,0.0509244,0.0765237,-0.0156496
95,-0.636013,0.132928,-0.760143,0.38457,-0.0322185,0.0379852,-0.079298,0.0666206,-2.68771,0.863533,2.93556,0.0220966,0.084808,0.0154157
96,-0.187787,0.950281,-0.2484,-0.341949,-0.033839,0.0474883,-0.0810595,0.0623647,2.31354,0.251028,1.76589,0.0459658,0.0865394,0.0336499
97,-0.549683,-0.343368,-0.761543,0.175997,-0.039157,0.0434588,-0.0880748,0.0635361,1.87053,0.86569,-2.58323,0.0647757,0.0945719,0.00667167
98,0.631229,-0.673731,-0.384235,-0.0206139,-0.0323163,0.0361406,-0.0910968,0.0626774,3.0145,0.394379,-0.817956,0.0948749,0.0976312,-0.0017429
99,-0.11234,-0.991323,0.0682529,-0.464408,-0.0331246,0.0257621,-0.0894872,0.0573534,-1.52245,-0.068306,-1.68364,0.0785383,0.095955,-0.0187317
100,-0.601802,0.146263,0.785138,-0.261049,-0.0388114,0.0269671,-0.080741,0.0541693,1.73424,-0.902919,2.90317,0.0950954,0.0859663,0.0104873
101,0.386276,-0.0711776,0.919633,0.667474,-0.0346026,0.0259954,-0.0708363,0.0602416,-1.16074,-1.16715,-0.182222,0.0826614,0.0735593,0.0085793
102,0.0784204,0.411221,0.908156,0.708475,-0.0334946,0.0297721,-0.0612383,0.0665969,-0.44203,-1.13886,1.38236,0.0775173,0.0616728,0.0220477
103,-0.398502,0.0167941,-0.917014,0.471077,-0.0370383,0.0296461,-0.0695468,0.0705239,-2.13083,1.16053,3.09947,0.056077,0.0723413,0.0519256
104,0.127135,0.807184,-0.576447,0.620792,-0.0354597,0.0371225,-0.0744209,0.0758149,-0.664697,0.614374,1.41458,0.0491465,0.0775532,0.065028
105,-0.676354,-0.442626,-0.588751,-0.3736,-0.0415635,0.0325534,-0.0793192,0.0715348,-0.899072,0.629513,-2.56211,0.0401159,0.0828099,0.0400077
106,-0.949451,0.190162,0.249763,0.0150627,-0.0501285,0.0340403,-0.0762147,0.071002,1.51642,-0.252436,2.94392,0.0540432,0.0796472,0.0674031
107,-0.269714,0.918949,-0.287727,0.0769326,-0.0521807,0.0423105,-0.0781914,0.0710574,-3.00923,0.291853,1.85628,0.0254145,0.0816305,0.0841216
108,0.225785,-0.425703,0.876241,-0.205743,-0.0496069,0.037977,-0.0693541,0.0684945,-2.98994,-1.06801,-1.08314,-0.00250547,0.0709857,0.0733136
109,-0.941501,0.0801381,0.327343,-0.0356409,-0.0577894,0.0383638,-0.0657147,0.0675391,0.0746128,-0.33349,3.05668,-0.00179796,0.0672749,0.100684
110,-0.914856,0.102755,-0.390487,0.100327,-0.0655809,0.0389492,-0.0686672,0.0678372,0.478189,0.401161,3.02974,0.00256556,0.0703102,0.127312
111,-0.708025,-0.0856335,0.700976,-0.224188,-0.0713687,0.0378268,-0.0617334,0.0652063,-1.5465,-0.776765,-3.02123,-0.01139,0.0626789,0.0989465
112,0.345936,-0.465535,-0.81462,-0.193414,-0.0676428,0.0333325,-0.0684556,0.0628972,2.15829,0.952073,-0.93173,0.00798213,0.0706199,0.089744
113,0.438098,0.887407,-0.143451,-0.81976,-0.0631672,0.0408907,-0.0691193,0.0550861,0.606876,0.143948,1.11221,0.0132821,0.0712689,0.0987925
114,-0.647135,-0.140402,0.749335,0.214058,-0.0682897,0.0393004,-0.0619399,0.0564806,0.602423,-0.847058,-2.92794,0.01845,0.0632134,0.0722421
115,0.0873456,-0.919591,0.383043,0.0590725,-0.0669364,0.0309622,-0.0580705,0.0565031,-2.94368,-0.393089,-1.4761,-0.00730769,0.0592455,0.0587783
116,0.427156,0.0992903,0.89871,0.350232,-0.062677,0.0315513,-0.0498224,0.0590353,2.14351,-1.11682,0.22839,0.0112338,0.049107,0.0602405
117,-0.271756,-0.860373,-0.431168,0.118655,-0.064464,0.023928,-0.0530817,0.0595448,2.93753,0.445787,-1.87674,0.0362449,0.0524975,0.0436851
118,0.338925,0.872524,-0.351897,-0.774343,-0.0610454,0.0311195,-0.0556141,0.052478,0.905359,0.359597,1.20029,0.0436103,0.0551,0.0534869
119,-0.87646,0.447473,0.177726,-0.214733,-0.0678977,0.0346182,-0.0536532,0.0502325,-1.76836,-0.178675,2.66954,0.0283837,0.0531355,0.0754705
120,-0.498574,-0.847462,0.182296,0.500665,-0.0714866,0.0272676,-0.051687,0.0539861,0.291141,-0.183321,-2.10258,0.0305733,0.051165,0.0573201
121,-0.137332,-0.702815,-0.697991,0.407105,-0.0720308,0.0212338,-0.0570283,0.0569045,0.886937,0.772588,-1.76377,0.0376507,0.0571272,0.0422698
122,-0.944421,0.316716,0.0880924,0.0131748,-0.0791815,0.0236558,-0.0558388,0.056546,2.4552,-0.0882067,2.81802,0.0574666,0.0559359,0.0650219
123,0.322008,-0.668266,-0.670621,-0.176414,-0.0759198,0.0180304,-0.060837,0.054652,2.22954,0.735045,-1.12177,0.0751257,0.0614571,0.0553732
124,0.697053,-0.203615,-0.687502,0.0199085,-0.0696862,0.016243,-0.0658908,0.0543718,3.07098,0.758043,-0.284202,0.0992859,0.0670748,0.0526347
125,0.971874,0.123393,0.200586,-0.377485,-0.0613537,0.0171002,-0.063759,0.050917,-2.37445,-0.201956,0.126289,0.079496,0.0649225,0.0532239
126,-0.0633846,0.620325,-0.781779,0.580109,-0.0613698,0.0218877,-0.0694576,0.0551169,-0.138552,0.897515,1.67262,0.0777655,0.0715304,0.0660763
127,0.973369,-0.185241,0.135049,0.652987,-0.0532223,0.0202567,-0.0678473,0.0598246,1.71972,-0.135463,-0.18806,0.0906942,0.0699005,0.0640752
128,0.976257,-0.205659,-0.0680223,0.799529,-0.0451795,0.0184918,-0.0678486,0.0656035,-1.27964,0.0680748,-0.207625,0.0799885,0.0698863,0.0619526
129,0.948745,-0.295492,0.112102,-0.342028,-0.0374746,0.0160578,-0.0664537,0.0624436,-2.41682,-0.112338,-0.301933,0.0606334,0.0684737,0.0591317
130,0.44924,0.713308,0.537936,0.24803,-0.0337307,0.0214212,-0.0618045,0.0638712,2.23078,-0.567987,1.00875,0.0773268,0.0635778,0.0664365
131,0.589068,-0.113809,-0.800029,0.0687235,-0.0289765,0.020389,-0.0674398,0.0639082,2.89159,0.927344,-0.19085,0.0988098,0.0701715,0.0644725
132,0.770788,-0.423184,0.476237,0.939475,-0.0229177,0.0170286,-0.0633211,0.0705413,0.0176609,-0.49637,-0.502097,0.098195,0.0658795,0.0601803
133,0.503087,-0.417582,0.756656,0.67632,-0.0189627,0.0137608,-0.0571558,0.075096,-1.02447,-0.858184,-0.692791,0.0897539,0.0589316,0.0545189
134,0.92764,-0.354758,-0.11675,0.380112,-0.0118985,0.0110107,-0.0576005,0.0773723,-2.36809,0.117017,-0.365269,0.0714118,0.0593651,0.0513861
135,0.897204,-0.270175,-0.349328,-0.25277,-0.00516444,0.00892781,-0.0597615,0.0749268,2.56341,0.356854,-0.292494,0.0898711,0.0615687,0.0488389
136,-0.0558504,-0.922408,0.382157,0.453077,-0.00553713,0.00207975,-0.0565121,0.0777073,-1.28557,-0.392129,-1.63127,0.0797576,0.0582327,0.0364851
137,-0.139321,0.767772,-0.625392,-0.655865,-0.00651366,0.00766874,-0.0606645,0.0723527,0.837604,0.675634,1.7503,0.0852893,0.0627393,0.0489948
138,-0.290545,0.691347,0.661531,0.570345,-0.00857186,0.0126229,-0.0554312,0.0759614,-0.450137,-0.722858,1.96864,0.0814094,0.0570466,0.0629053
139,0.19829,0.567563,0.799095,-0.715799,-0.00708364,0.0166153,-0.0492835,0.0702653,-1.4618,-0.925789,1.23468,0.0703072,0.0499758,0.0713353
140,0.687613,-0.552283,-0.47135,-0.730014,-0.00212152,0.0125518,-0.0522983,0.064549,1.12872,0.490821,-0.676682,0.0778673,0.0531247,0.0659923
141,-0.821164,0.545617,-0.167307,0.117122,-0.00793034,0.0163324,-0.053114,0.0649218,2.8809,0.168097,2.55513,0.0977469,0.0539401,0.0836458
142,0.697464,0.595429,-0.39876,-0.531758,-0.00296278,0.0204105,-0.0555481,0.0607199,-1.75787,0.410164,0.706642,0.0846792,0.0564487,0.0880331
143,-0.81471,-0.526522,-0.242945,-0.0343146,-0.00863933,0.0165858,-0.0568585,0.0600553,2.57567,0.2454,-2.56784,0.102099,0.0577701,0.0694605
144,0.922683,0.0504994,0.382237,0.424937,-0.00217181,0.0168213,-0.0538093,0.0625892,2.23421,-0.392216,0.0546764,0.116905,0.0546452,0.0693579
145,0.567812,0.780425,-0.261774,0.469629,0.00175912,0.0220875,-0.0552435,0.0653964,2.15882,0.264859,0.941807,0.130987,0.0560949,0.0753748
146,0.184957,0.94787,0.259488,0.419755,0.0030139,0.0284285,-0.0530878,0.0678235,1.77141,-0.262492,1.37809,0.142223,0.0539128,0.0842974
147,0.555576,-0.136797,-0.820136,0.366537,0.00677282,0.0273045,-0.0583058,0.0698556,2.15798,0.961648,-0.241424,0.155936,0.0600879,0.0820817
148,0.593109,0.804968,0.0157933,-0.808301,0.0107345,0.032559,-0.0578052,0.0639221,-0.883704,-0.015794,0.93579,0.148911,0.0595752,0.08785
149,0.264047,0.52433,-0.809541,-0.490489,0.0124346,0.0358595,-0.0628504,0.0602012,-1.20288,0.94337,1.10428,0.139839,0.0655067,0.0946716
150,-0.273076,0.819454,-0.50391,-0.272268,0.0105312,0.0410834,-0.0657908,0.0579847,2.92215,0.52812,1.89246,0.158387,0.0685908,0.106657
151,-0.279665,-0.803936,0.524857,-0.131583,0.00860941,0.0354873,-0.0618792,0.0567293,-1.94052,-0.552547,-1.90557,0.144487,0.0644773,0.0933309
152,0.234251,-0.243599,0.941162,0.747835,0.0100939,0.0336512,-0.0552802,0.061276,-0.0405106,-1.22605,-0.80496,0.14327,0.0559869,0.0874211
153,-0.200886,0.782083,0.589908,0.632092,0.00871493,0.0385429,-0.0510633,0.0650069,-0.809454,-0.630945,1.82222,0.137043,0.0514972,0.0987597
154,0.529558,0.148275,-0.835214,-0.846227,0.012097,0.0392555,-0.0561552,0.0590898,0.657866,0.988523,0.273008,0.140425,0.0575818,0.0998911
155,0.271138,-0.788996,-0.551334,-0.0411268,0.0137683,0.0339119,-0.0593499,0.0584432,2.82215,0.583962,-1.23979,0.157727,0.0609778,0.091248
156,0.534877,0.447599,-0.716632,0.754783,0.0171087,0.0365637,-0.0635632,0.0629069,-0.760496,0.798961,0.696796,0.151841,0.0657084,0.0951298
157,-0.839449,-0.526371,-0.135126,0.181906,0.0116529,0.0329782,-0.0640191,0.0636649,1.28377,0.135541,-2.58152,0.15905,0.0661532,0.078081
158,0.903965,-0.193217,0.381463,-0.339589,0.0173005,0.0315465,-0.0611996,0.0611126,2.47251,-0.391378,-0.210575,0.173692,0.0632575,0.0762541
159,-0.45554,0.886498,-0.0812762,-0.00185235,0.0143266,0.0369236,-0.0613258,0.0607166,-3.00132,0.0813659,2.04547,0.153724,0.0633713,0.0886391
160,0.600824,0.291585,-0.744304,-0.712823,0.0179922,0.0385152,-0.0655944,0.055882,1.5022,0.839492,0.451826,0.162152,0.0682221,0.090909
161,0.757524,0.198079,0.62203,-0.794679,0.0225856,0.0395063,-0.0613235,0.050599,1.02857,-0.671333,0.255756,0.167533,0.0636286,0.0919329
162,0.796838,0.458479,-0.393505,-0.548683,0.0273649,0.0420926,-0.063374,0.0468998,-1.79747,0.404441,0.522115,0.155404,0.0657324,0.0945884
163,-0.205583,-0.871848,0.444542,-0.617064,0.0259358,0.0364856,-0.0602579,0.0428264,0.166211,-0.460663,-1.80237,0.15547,0.062503,0.0829506
164,0.366339,0.0856587,0.92653,0.405065,0.0280114,0.0367854,-0.0542409,0.0450351,1.96223,-1.18508,0.229697,0.166487,0.0548957,0.0838454
165,-0.122871,-0.0332207,0.991866,-0.138448,0.027097,0.0363611,-0.0479009,0.0439231,0.121624,-1.44317,-2.87754,0.166215,0.0458166,0.0658976
166,-0.915847,-0.282515,-0.285322,0.164109,0.0214166,0.0344402,-0.0493311,0.0446471,-0.249921,0.289343,-2.84238,0.163708,0.0472836,0.0483779
