[0.000000] (-) TimerEvent: {}
[0.000352] (-) JobUnselected: {'identifier': 'my_ur5e_moveit2_control'}
[0.000382] (-) JobUnselected: {'identifier': 'ur'}
[0.000398] (-) JobUnselected: {'identifier': 'ur_calibration'}
[0.000410] (-) JobUnselected: {'identifier': 'ur_controllers'}
[0.000422] (-) JobUnselected: {'identifier': 'ur_dashboard_msgs'}
[0.000435] (-) JobUnselected: {'identifier': 'ur_moveit_config'}
[0.000445] (-) JobUnselected: {'identifier': 'ur_robot_driver'}
[0.000457] (-) JobUnselected: {'identifier': 'ur_simulation_gz'}
[0.000470] (ur_description) JobQueued: {'identifier': 'ur_description', 'dependencies': OrderedDict()}
[0.070702] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur3/default_kinematics.yaml\n'}
[0.070863] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur3/physical_parameters.yaml\n'}
[0.071058] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur3/joint_limits.yaml\n'}
[0.071198] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur3/visual_parameters.yaml\n'}
[0.071320] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur3e\n'}
[0.071443] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur3e/default_kinematics.yaml\n'}
[0.071626] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur3e/physical_parameters.yaml\n'}
[0.071752] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur3e/joint_limits.yaml\n'}
[0.071882] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur3e/visual_parameters.yaml\n'}
[0.072061] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5e\n'}
[0.072183] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5e/default_kinematics.yaml\n'}
[0.072303] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5e/physical_parameters.yaml\n'}
[0.072424] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5e/joint_limits.yaml\n'}
[0.072544] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5e/visual_parameters.yaml\n'}
[0.072739] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5\n'}
[0.072865] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5/default_kinematics.yaml\n'}
[0.073150] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5/physical_parameters.yaml\n'}
[0.073329] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5/joint_limits.yaml\n'}
[0.073461] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur5/visual_parameters.yaml\n'}
[0.073608] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/initial_positions.yaml\n'}
[0.073738] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur7e\n'}
[0.073862] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur7e/default_kinematics.yaml\n'}
[0.074247] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur7e/physical_parameters.yaml\n'}
[0.074407] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur7e/joint_limits.yaml\n'}
[0.074543] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur7e/visual_parameters.yaml\n'}
[0.074824] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur30\n'}
[0.075030] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur30/default_kinematics.yaml\n'}
[0.075186] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur30/physical_parameters.yaml\n'}
[0.075390] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur30/joint_limits.yaml\n'}
[0.075521] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur30/visual_parameters.yaml\n'}
[0.075666] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur12e\n'}
[0.075799] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur12e/default_kinematics.yaml\n'}
[0.076042] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur12e/physical_parameters.yaml\n'}
[0.076224] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur12e/joint_limits.yaml\n'}
[0.076411] (ur_description) StdoutLine: {'line': b'-- Installing: /home/russell/ROS2_REPAS/install/ur_description/share/ur_description/config/ur12e/visual_parameters.yaml\n'}
